dataset,A,Z,species,nr,l,j,energy_MeV,orbital,state_type
Seminole synthetic,208,82,neutron,0,0,0.5,-41.03927490809385,,
Seminole synthetic,208,82,neutron,1,0,0.5,-30.33203205753351,,
Seminole synthetic,208,82,neutron,2,0,0.5,-15.6993380859013,,
Seminole synthetic,208,82,neutron,3,0,0.5,-1.3868398347026931,,
Seminole synthetic,208,82,neutron,0,1,0.5,-36.59656027308006,,
Seminole synthetic,208,82,neutron,1,1,0.5,-23.197121356248093,,
Seminole synthetic,208,82,neutron,2,1,0.5,-7.6939097116263,,
Seminole synthetic,208,82,neutron,0,1,1.5,-37.19824445265277,,
Seminole synthetic,208,82,neutron,1,1,1.5,-24.117447692788893,,
Seminole synthetic,208,82,neutron,2,1,1.5,-8.499184821925198,,
Seminole synthetic,208,82,neutron,0,2,1.5,-31.287540092084445,,
Seminole synthetic,208,82,neutron,1,2,1.5,-15.903908350459096,,
Seminole synthetic,208,82,neutron,2,2,1.5,-0.9470478427523039,,
Seminole synthetic,208,82,neutron,0,2,2.5,-32.696742263636104,,
Seminole synthetic,208,82,neutron,1,2,2.5,-17.547196228010392,,
Seminole synthetic,208,82,neutron,2,2,2.5,-1.9197446385228918,,
Seminole synthetic,208,82,neutron,0,3,2.5,-25.119093611756412,,
Seminole synthetic,208,82,neutron,1,3,2.5,-8.419222954442647,,
Seminole synthetic,208,82,neutron,0,3,3.5,-27.617068610947268,,
Seminole synthetic,208,82,neutron,1,3,3.5,-10.723284313480018,,
Seminole synthetic,208,82,neutron,0,4,3.5,-18.207755625476906,,
Seminole synthetic,208,82,neutron,1,4,3.5,-1.1166802805101737,,
Seminole synthetic,208,82,neutron,0,4,4.5,-22.008363022916075,,
Seminole synthetic,208,82,neutron,1,4,4.5,-3.8288882851407586,,
Seminole synthetic,208,82,neutron,0,5,4.5,-10.679870326839458,,
Seminole synthetic,208,82,neutron,0,5,5.5,-15.905250107460121,,
Seminole synthetic,208,82,neutron,0,6,5.5,-2.695069799996308,,
Seminole synthetic,208,82,neutron,0,6,6.5,-9.339706621473889,,
Seminole synthetic,208,82,neutron,0,7,7.5,-2.351591926547251,,
Seminole synthetic,208,82,proton,0,0,0.5,-33.92797746980044,,
Seminole synthetic,208,82,proton,1,0,0.5,-23.137478706067554,,
Seminole synthetic,208,82,proton,2,0,0.5,-8.006932460737524,,
Seminole synthetic,208,82,proton,0,1,0.5,-29.939946659188912,,
Seminole synthetic,208,82,proton,1,1,0.5,-16.025590425235794,,
Seminole synthetic,208,82,proton,0,1,1.5,-30.602717344653406,,
Seminole synthetic,208,82,proton,1,1,1.5,-16.910220861022285,,
Seminole synthetic,208,82,proton,2,1,1.5,-0.39534530605408474,,
Seminole synthetic,208,82,proton,0,2,1.5,-24.907395626480877,,
Seminole synthetic,208,82,proton,1,2,1.5,-8.64795128527104,,
Seminole synthetic,208,82,proton,0,2,2.5,-26.378275101461533,,
Seminole synthetic,208,82,proton,1,2,2.5,-10.256391116418662,,
Seminole synthetic,208,82,proton,0,3,2.5,-18.878697124754517,,
