dataset,A,Z,species,levels,minimum_energy_MeV,maximum_energy_MeV
Experimental,16,8,neutron,3,-15.66,-3.27
Experimental,16,8,proton,3,-12.13,-0.11
Experimental,40,20,neutron,7,-22.39,-1.56
Experimental,40,20,proton,4,-15.07,-1.09
Experimental,48,20,neutron,7,-15.61,-1.2
Experimental,48,20,proton,6,-21.47,-4.64
Experimental,56,28,neutron,4,-16.64,-9.13
Experimental,56,28,proton,2,-7.17,-0.69
Experimental,90,40,neutron,10,-21.0,-4.4
Experimental,100,50,neutron,7,-18.38,-8.6
Experimental,100,50,proton,4,-8.71,-2.92
Experimental,132,50,neutron,9,-9.75,-0.42
Experimental,132,50,proton,6,-16.01,-6.89
Experimental,208,82,neutron,13,-11.4,-1.4
Experimental,208,82,proton,11,-12.0,-0.16
Seminole synthetic,16,8,neutron,6,-36.21207763956755,-0.751473372767085
Seminole synthetic,16,8,proton,5,-32.09290423385876,-2.5563306045502205
Seminole synthetic,40,20,neutron,10,-41.79015983090607,-2.8612639618961384
Seminole synthetic,40,20,proton,7,-33.29256146055299,-3.2127286804581248
Seminole synthetic,48,20,neutron,10,-36.353451454394815,-2.080861007848297
Seminole synthetic,48,20,proton,10,-39.85090642801549,-3.5187850520391857
Seminole synthetic,56,28,neutron,13,-43.52932246545865,-1.4733057144318913
Seminole synthetic,56,28,proton,10,-32.66939016507819,-0.450260359262028
Seminole synthetic,90,40,neutron,16,-41.359001615239734,-2.568600711505752
Seminole synthetic,90,40,proton,12,-35.66182481528479,-0.8518476271400272
Seminole synthetic,100,50,neutron,20,-46.01142814985812,-0.16597547385841668
Seminole synthetic,100,50,proton,11,-29.6772056029147,-2.879542095978185
Seminole synthetic,132,50,neutron,21,-38.658951707812406,-0.14076008249786298
Seminole synthetic,132,50,proton,18,-39.83257385896047,-0.24589396968575797
Seminole synthetic,208,82,neutron,29,-41.03927490809385,-0.9470478427523039
Seminole synthetic,208,82,proton,21,-33.92797746980044,-0.39534530605408474
Wahlborn synthetic,12,6,neutron,5,-27.23289586357783,-0.6983004456452088
Wahlborn synthetic,12,6,proton,3,-24.11945850515288,-4.42219794592585
Wahlborn synthetic,16,8,neutron,5,-30.38487407684111,-2.9676023681362973
Wahlborn synthetic,16,8,proton,5,-26.3387990550995,-0.30646032849505245
Wahlborn synthetic,20,10,neutron,6,-32.655885414439076,-0.6373013561190302
Wahlborn synthetic,20,10,proton,5,-27.764128629360673,-1.8201073968293011
Wahlborn synthetic,24,12,neutron,7,-34.39053824025989,-0.15620467002619642
Wahlborn synthetic,24,12,proton,5,-28.715756457982202,-3.3153165703692205
Wahlborn synthetic,28,14,neutron,8,-35.76914882059103,-0.9113329404516277
Wahlborn synthetic,28,14,proton,6,-29.35935872987145,-1.3951607974229288
Wahlborn synthetic,32,16,neutron,9,-36.897013564354076,-0.31689390707886333
Wahlborn synthetic,32,16,proton,6,-29.790622670112896,-3.2431095142367834
Wahlborn synthetic,40,18,neutron,9,-35.53535282425177,-1.4322980250167818
Wahlborn synthetic,40,18,proton,8,-34.21403901562871,-1.1213247077977808
Wahlborn synthetic,40,20,neutron,10,-38.643654114341544,-0.5231894155805508
Wahlborn synthetic,40,20,proton,7,-30.2342506575499,-2.0383584330906337
Wahlborn synthetic,48,20,neutron,10,-34.693091050911065,-1.215680669870718
Wahlborn synthetic,48,20,proton,10,-37.237588723622586,-1.0782397771265768
Wahlborn synthetic,48,22,neutron,11,-37.313740747140656,-0.12030694613210444
Wahlborn synthetic,48,22,proton,8,-33.773984231490616,-2.3772619897054046
Wahlborn synthetic,56,28,neutron,13,-40.955520272333,-0.8533847840823227
Wahlborn synthetic,56,28,proton,8,-30.198146850025505,-1.2683399485982858
Wahlborn synthetic,60,28,neutron,13,-39.246443236488886,-0.7727504383154896
Wahlborn synthetic,60,28,proton,10,-32.977604334897805,-1.5969931983221288
Wahlborn synthetic,72,30,neutron,13,-37.05109653734941,-1.2431401140652867
Wahlborn synthetic,72,30,proton,12,-37.13920773829661,-0.08615202407343381
Wahlborn synthetic,90,40,neutron,16,-39.9631262656993,-2.2817758901963225
Wahlborn synthetic,90,40,proton,12,-33.85816123889649,-0.3334127670409659
Wahlborn synthetic,100,50,neutron,19,-44.09456763069064,-0.3647841843393725
Wahlborn synthetic,100,50,proton,11,-27.901266777166214,-1.9891844971503267
Wahlborn synthetic,132,50,neutron,20,-37.23203281653977,-0.1629094907113691
Wahlborn synthetic,132,50,proton,17,-38.45474427176097,-0.9268804704297764
Wahlborn synthetic,208,82,neutron,26,-39.699787122853365,-0.4425653675987093
Wahlborn synthetic,208,82,proton,20,-32.81576271285263,-0.04444853573681274
